;match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
90;7908141770;1868;1724296670;9426115;Dark Rebellion;2443375;Foxy gaming;16059;Destiny League;899847;1;12;28;False;21
91;7908054315;2464;1724287359;8957156;Silent killer;8850016;FLYING FORTUNE;16635;Dota 2 Space League;899794;1;36;47;False;21
92;7908034572;1390;1724285178;9450071;Fusion Esports;9248240;TeamWaska;16709;RES - Regional Series LATAM #4;899789;1;23;6;True;21
93;7908031637;1894;1724284874;8850016;FLYING FORTUNE;8957156;Silent killer;16635;Dota 2 Space League;899794;1;35;26;True;21
94;7908011241;1475;1724282830;8957156;Silent killer;8850016;FLYING FORTUNE;16635;Dota 2 Space League;899794;1;32;21;True;21
95;7907995951;2640;1724281318;9248240;TeamWaska;9450071;Fusion Esports;16709;RES - Regional Series LATAM #4;899789;1;24;24;True;21
96;7907982332;1930;1724280147;8970060;Moonwalkers;8849850;HELLBEAR HEROES;16635;Dota 2 Space League;899782;1;21;23;True;21
97;7907950725;1868;1724277708;8849850;HELLBEAR HEROES;8970060;Moonwalkers;16635;Dota 2 Space League;899782;1;24;25;False;21
98;7907926176;2542;1724275931;9324110;Gods of Hell;8737621;Lava Esports ;16709;RES - Regional Series LATAM #4;899774;1;25;42;False;21
99;7907914392;1493;1724275258;8849990;REAL ECLIPSE;8849837;FALL VICTIMS;16635;Dota 2 Space League;899776;1;30;13;True;21
